date,pm25
2020-11-24T00:00:00.000Z,16.89
2020-11-25T00:00:00.000Z,22.35
2020-11-26T00:00:00.000Z,57.03
2020-11-27T00:00:00.000Z,81.81
2020-11-28T00:00:00.000Z,152.07
2020-11-29T00:00:00.000Z,117.02
2020-11-30T00:00:00.000Z,17.64
2020-12-01T00:00:00.000Z,22.35
2020-12-02T00:00:00.000Z,30.62
2020-12-03T00:00:00.000Z,12.96
2020-12-04T00:00:00.000Z,15.75
2020-12-05T00:00:00.000Z,21.58
2020-12-06T00:00:00.000Z,23.85
2020-12-07T00:00:00.000Z,0.93
2020-12-08T00:00:00.000Z,10.95
2020-12-09T00:00:00.000Z,5.72
2020-12-10T00:00:00.000Z,25.65
2020-12-11T00:00:00.000Z,48.9
2020-12-12T00:00:00.000Z,53.2
2020-12-13T00:00:00.000Z,16.23
2020-12-14T00:00:00.000Z,21.3
2020-12-15T00:00:00.000Z,18.35
2020-12-16T00:00:00.000Z,24.92
2020-12-17T00:00:00.000Z,41.08
2020-12-18T00:00:00.000Z,72.64
2020-12-19T00:00:00.000Z,54.3
2020-12-20T00:00:00.000Z,51.09
2020-12-21T00:00:00.000Z,39.38
2020-12-22T00:00:00.000Z,38.35
2020-12-23T00:00:00.000Z,38.53
2020-12-24T00:00:00.000Z,91.32
2020-12-25T00:00:00.000Z,20.8
2020-12-26T00:00:00.000Z,3.17
2020-12-27T00:00:00.000Z,5.97
2020-12-28T00:00:00.000Z,7.32
2020-12-29T00:00:00.000Z,13.23
2020-12-30T00:00:00.000Z,42.22
2020-12-31T00:00:00.000Z,12.02
2021-01-01T00:00:00.000Z,80.31
2021-01-02T00:00:00.000Z,36.88
2021-01-03T00:00:00.000Z,17.05
2021-01-04T00:00:00.000Z,21.75
2021-01-05T00:00:00.000Z,15.02
2021-01-06T00:00:00.000Z,23.45
2021-01-07T00:00:00.000Z,20.3
2021-01-08T00:00:00.000Z,33.25
2021-01-09T00:00:00.000Z,21.53
2021-01-10T00:00:00.000Z,23.07
2021-01-11T00:00:00.000Z,12.27
2021-01-12T00:00:00.000Z,12.94
2021-01-13T00:00:00.000Z,19.48
2021-01-14T00:00:00.000Z,32.03
2021-01-15T00:00:00.000Z,17.39
2021-01-16T00:00:00.000Z,10.22
2021-01-17T00:00:00.000Z,23.63
2021-01-18T00:00:00.000Z,66.84
2021-01-19T00:00:00.000Z,82.26
2021-01-20T00:00:00.000Z,90.13
2021-01-21T00:00:00.000Z,105.57
2021-01-22T00:00:00.000Z,99.13
2021-01-23T00:00:00.000Z,1.4
2021-01-24T00:00:00.000Z,23.48
2021-01-25T00:00:00.000Z,8.19
2021-01-26T00:00:00.000Z,1.21
2021-01-27T00:00:00.000Z,3.07
2021-01-28T00:00:00.000Z,4.63
2021-01-29T00:00:00.000Z,26.67
2021-01-30T00:00:00.000Z,34.76
2021-01-31T00:00:00.000Z,35.79
2021-02-01T00:00:00.000Z,12.65
2021-02-02T00:00:00.000Z,36.53
2021-02-03T00:00:00.000Z,68.95
2021-02-04T00:00:00.000Z,37.96
2021-02-05T00:00:00.000Z,51.0
2021-02-06T00:00:00.000Z,41.55
2021-02-07T00:00:00.000Z,39.65
2021-02-08T00:00:00.000Z,3.34
2021-02-09T00:00:00.000Z,21.93
2021-02-10T00:00:00.000Z,3.8
2021-02-11T00:00:00.000Z,8.98
2021-02-12T00:00:00.000Z,5.88
2021-02-13T00:00:00.000Z,3.53
2021-02-14T00:00:00.000Z,5.7
2021-02-15T00:00:00.000Z,3.5
2021-02-16T00:00:00.000Z,3.9
2021-02-17T00:00:00.000Z,30.69
2021-02-18T00:00:00.000Z,58.28
2021-02-19T00:00:00.000Z,54.05
2021-02-20T00:00:00.000Z,56.75
2021-02-21T00:00:00.000Z,33.92
2021-02-22T00:00:00.000Z,28.45
2021-02-23T00:00:00.000Z,46.65
2021-02-24T00:00:00.000Z,17.17
2021-02-25T00:00:00.000Z,11.93
2021-02-26T00:00:00.000Z,12.65
2021-02-27T00:00:00.000Z,7.85
2021-02-28T00:00:00.000Z,4.37
2021-03-01T00:00:00.000Z,5.95
2021-03-02T00:00:00.000Z,12.9
2021-03-03T00:00:00.000Z,15.95
2021-03-04T00:00:00.000Z,14.05
2021-03-05T00:00:00.000Z,10.35
2021-03-06T00:00:00.000Z,3.6
2021-03-07T00:00:00.000Z,4.82
2021-03-08T00:00:00.000Z,11.38
2021-03-09T00:00:00.000Z,20.19
2021-03-10T00:00:00.000Z,12.93
2021-03-11T00:00:00.000Z,12.23
2021-03-12T00:00:00.000Z,36.13
2021-03-13T00:00:00.000Z,2.75
2021-03-14T00:00:00.000Z,1.4
2021-03-15T00:00:00.000Z,1.63
2021-03-16T00:00:00.000Z,1.29
2021-03-17T00:00:00.000Z,1.5
2021-03-18T00:00:00.000Z,1.5
2021-03-19T00:00:00.000Z,4.5
2021-03-20T00:00:00.000Z,5.3
2021-03-21T00:00:00.000Z,4.07
2021-03-22T00:00:00.000Z,3.22
2021-03-23T00:00:00.000Z,1.63
2021-03-24T00:00:00.000Z,10.28
2021-03-25T00:00:00.000Z,11.38
2021-03-26T00:00:00.000Z,16.22
2021-03-27T00:00:00.000Z,10.13
2021-03-28T00:00:00.000Z,5.32
2021-03-29T00:00:00.000Z,8.07
2021-03-30T00:00:00.000Z,9.66
2021-03-31T00:00:00.000Z,3.54
2021-04-01T00:00:00.000Z,3.88
2021-04-02T00:00:00.000Z,1.95
2021-04-03T00:00:00.000Z,2.29
2021-04-04T00:00:00.000Z,1.52
2021-04-05T00:00:00.000Z,1.73
2021-04-06T00:00:00.000Z,1.65
2021-04-07T00:00:00.000Z,2.04
2021-04-08T00:00:00.000Z,1.6
2021-04-09T00:00:00.000Z,1.42
2021-04-10T00:00:00.000Z,1.5
2021-04-11T00:00:00.000Z,16.98
2021-04-12T00:00:00.000Z,22.84
2021-04-13T00:00:00.000Z,0.93
2021-04-14T00:00:00.000Z,2.1
2021-04-15T00:00:00.000Z,3.45
2021-04-16T00:00:00.000Z,4.21
2021-04-17T00:00:00.000Z,3.64
2021-04-18T00:00:00.000Z,9.68
2021-04-19T00:00:00.000Z,7.69
2021-04-20T00:00:00.000Z,6.16
2021-04-21T00:00:00.000Z,3.2
2021-04-22T00:00:00.000Z,6.89
2021-04-23T00:00:00.000Z,5.2
2021-04-24T00:00:00.000Z,3.2
2021-04-25T00:00:00.000Z,3.4
2021-04-26T00:00:00.000Z,10.93
2021-04-27T00:00:00.000Z,14.13
2021-04-28T00:00:00.000Z,11.03
2021-04-29T00:00:00.000Z,7.68
2021-04-30T00:00:00.000Z,2.2
2021-05-01T00:00:00.000Z,11.25
2021-05-02T00:00:00.000Z,2.08
2021-05-03T00:00:00.000Z,1.45
2021-05-04T00:00:00.000Z,1.85
2021-05-05T00:00:00.000Z,1.4
2021-05-06T00:00:00.000Z,2.72
2021-05-07T00:00:00.000Z,1.65
2021-05-08T00:00:00.000Z,1.7
2021-05-09T00:00:00.000Z,1.96
2021-05-10T00:00:00.000Z,2.29
2021-05-11T00:00:00.000Z,6.32
2021-05-12T00:00:00.000Z,1.88
2021-05-13T00:00:00.000Z,1.23
2021-05-14T00:00:00.000Z,1.6
2021-05-15T00:00:00.000Z,1.48
2021-05-16T00:00:00.000Z,0.85
2021-05-17T00:00:00.000Z,1.95
2021-05-18T00:00:00.000Z,1.79
2021-05-19T00:00:00.000Z,0.4
2021-05-20T00:00:00.000Z,0.77
2021-05-21T00:00:00.000Z,1.02
2021-05-22T00:00:00.000Z,1.39
2021-05-23T00:00:00.000Z,2.9
2021-05-24T00:00:00.000Z,13.02
2021-05-25T00:00:00.000Z,2.54
2021-05-26T00:00:00.000Z,3.03
2021-05-27T00:00:00.000Z,2.24
2021-05-28T00:00:00.000Z,1.98
2021-05-29T00:00:00.000Z,1.2
2021-05-30T00:00:00.000Z,1.1
2021-05-31T00:00:00.000Z,1.67
2021-06-01T00:00:00.000Z,2.0
2021-06-02T00:00:00.000Z,2.88
2021-06-03T00:00:00.000Z,3.0
2021-06-04T00:00:00.000Z,2.14
2021-06-05T00:00:00.000Z,2.63
2021-06-06T00:00:00.000Z,3.1
2021-06-07T00:00:00.000Z,12.1
2021-06-08T00:00:00.000Z,7.1
2021-06-09T00:00:00.000Z,10.8
2021-06-10T00:00:00.000Z,6.57
2021-06-11T00:00:00.000Z,6.05
2021-06-12T00:00:00.000Z,2.9
2021-06-13T00:00:00.000Z,3.85
2021-06-14T00:00:00.000Z,3.32
2021-06-15T00:00:00.000Z,3.42
2021-06-16T00:00:00.000Z,4.69
2021-06-17T00:00:00.000Z,5.82
2021-06-18T00:00:00.000Z,4.29
2021-06-19T00:00:00.000Z,2.92
2021-06-20T00:00:00.000Z,4.67
2021-06-21T00:00:00.000Z,5.4
2021-06-22T00:00:00.000Z,4.46
2021-06-23T00:00:00.000Z,2.58
2021-06-24T00:00:00.000Z,2.22
2021-06-25T00:00:00.000Z,0.75
2021-06-26T00:00:00.000Z,1.1
2021-06-27T00:00:00.000Z,1.2
2021-06-28T00:00:00.000Z,1.5
2021-06-29T00:00:00.000Z,1.95
2021-06-30T00:00:00.000Z,1.2
2021-07-01T00:00:00.000Z,1.6
2021-07-02T00:00:00.000Z,1.66
2021-07-03T00:00:00.000Z,2.0
2021-07-04T00:00:00.000Z,7.68
2021-07-05T00:00:00.000Z,2.1
2021-07-06T00:00:00.000Z,2.0
2021-07-07T00:00:00.000Z,1.9
2021-07-08T00:00:00.000Z,2.98
2021-07-09T00:00:00.000Z,0.73
2021-07-10T00:00:00.000Z,1.12
2021-07-11T00:00:00.000Z,2.83
2021-07-12T00:00:00.000Z,2.72
2021-07-13T00:00:00.000Z,2.2
2021-07-14T00:00:00.000Z,1.3
2021-07-15T00:00:00.000Z,1.58
2021-07-16T00:00:00.000Z,5.85
2021-07-17T00:00:00.000Z,4.07
2021-07-18T00:00:00.000Z,2.27
2021-07-19T00:00:00.000Z,4.53
2021-07-20T00:00:00.000Z,4.34
2021-07-21T00:00:00.000Z,4.55
2021-07-22T00:00:00.000Z,6.55
2021-07-23T00:00:00.000Z,8.44
2021-07-24T00:00:00.000Z,7.59
2021-07-25T00:00:00.000Z,4.3
2021-07-26T00:00:00.000Z,6.65
2021-07-27T00:00:00.000Z,6.45
2021-07-28T00:00:00.000Z,5.85
2021-07-29T00:00:00.000Z,5.78
2021-07-30T00:00:00.000Z,5.45
2021-07-31T00:00:00.000Z,5.04
2021-08-01T00:00:00.000Z,5.01
2021-08-02T00:00:00.000Z,2.1
2021-08-03T00:00:00.000Z,1.55
2021-08-04T00:00:00.000Z,2.2
2021-08-05T00:00:00.000Z,2.57
2021-08-06T00:00:00.000Z,2.22
2021-08-07T00:00:00.000Z,2.13
2021-08-08T00:00:00.000Z,1.02
2021-08-09T00:00:00.000Z,1.4
2021-08-10T00:00:00.000Z,2.13
2021-08-11T00:00:00.000Z,2.95
2021-08-12T00:00:00.000Z,4.09
2021-08-13T00:00:00.000Z,4.63
2021-08-14T00:00:00.000Z,4.13
2021-08-15T00:00:00.000Z,4.59
2021-08-16T00:00:00.000Z,5.78
2021-08-17T00:00:00.000Z,2.0
2021-08-18T00:00:00.000Z,1.8
2021-08-19T00:00:00.000Z,1.8
2021-08-20T00:00:00.000Z,2.29
2021-08-21T00:00:00.000Z,2.9
2021-08-22T00:00:00.000Z,3.63
2021-08-23T00:00:00.000Z,4.21
2021-08-24T00:00:00.000Z,2.1
2021-08-25T00:00:00.000Z,1.7
2021-08-26T00:00:00.000Z,1.52
2021-08-27T00:00:00.000Z,2.21
2021-08-28T00:00:00.000Z,2.47
2021-08-29T00:00:00.000Z,1.0
2021-08-30T00:00:00.000Z,1.25
2021-08-31T00:00:00.000Z,2.42
2021-09-01T00:00:00.000Z,2.27
2021-09-02T00:00:00.000Z,2.67
2021-09-03T00:00:00.000Z,3.47
2021-09-04T00:00:00.000Z,4.07
2021-09-05T00:00:00.000Z,3.58
2021-09-06T00:00:00.000Z,4.09
2021-09-07T00:00:00.000Z,4.8
2021-09-08T00:00:00.000Z,5.35
2021-09-09T00:00:00.000Z,4.9
2021-09-10T00:00:00.000Z,4.95
2021-09-11T00:00:00.000Z,6.18
2021-09-12T00:00:00.000Z,5.9
2021-09-13T00:00:00.000Z,4.55
2021-09-14T00:00:00.000Z,5.44
2021-09-15T00:00:00.000Z,4.09
2021-09-16T00:00:00.000Z,6.18
2021-09-17T00:00:00.000Z,7.7
2021-09-18T00:00:00.000Z,3.58
2021-09-19T00:00:00.000Z,1.67
2021-09-20T00:00:00.000Z,1.42
2021-09-21T00:00:00.000Z,3.0
2021-09-22T00:00:00.000Z,3.05
2021-09-23T00:00:00.000Z,2.7
2021-09-24T00:00:00.000Z,3.25
2021-09-25T00:00:00.000Z,4.38
2021-09-26T00:00:00.000Z,11.35
2021-09-27T00:00:00.000Z,30.25
2021-09-28T00:00:00.000Z,23.69
2021-09-29T00:00:00.000Z,27.17
2021-09-30T00:00:00.000Z,3.67
2021-10-01T00:00:00.000Z,3.38
2021-10-02T00:00:00.000Z,4.8
2021-10-03T00:00:00.000Z,6.75
2021-10-04T00:00:00.000Z,5.22
2021-10-05T00:00:00.000Z,1.45
2021-10-06T00:00:00.000Z,0.9
2021-10-07T00:00:00.000Z,1.1
2021-10-08T00:00:00.000Z,2.45
2021-10-09T00:00:00.000Z,6.47
2021-10-10T00:00:00.000Z,4.84
2021-10-11T00:00:00.000Z,5.4
2021-10-12T00:00:00.000Z,4.75
2021-10-13T00:00:00.000Z,5.09
2021-10-14T00:00:00.000Z,2.6
2021-10-15T00:00:00.000Z,8.07
2021-10-16T00:00:00.000Z,10.7
2021-10-17T00:00:00.000Z,9.59
2021-10-18T00:00:00.000Z,4.05
2021-10-19T00:00:00.000Z,8.68
2021-10-20T00:00:00.000Z,4.68
2021-10-21T00:00:00.000Z,1.62
2021-10-22T00:00:00.000Z,79.56
2021-10-23T00:00:00.000Z,52.38
2021-10-24T00:00:00.000Z,2.92
2021-10-25T00:00:00.000Z,5.09
2021-10-26T00:00:00.000Z,14.29
2021-10-27T00:00:00.000Z,17.45
2021-10-28T00:00:00.000Z,14.64
2021-10-29T00:00:00.000Z,24.52
2021-10-30T00:00:00.000Z,41.46
2021-10-31T00:00:00.000Z,78.95
2021-11-01T00:00:00.000Z,88.93
2021-11-02T00:00:00.000Z,2.5
2021-11-03T00:00:00.000Z,2.5
2021-11-04T00:00:00.000Z,1.66
2021-11-05T00:00:00.000Z,6.39
2021-11-06T00:00:00.000Z,11.88
2021-11-07T00:00:00.000Z,8.05
2021-11-08T00:00:00.000Z,24.62
2021-11-09T00:00:00.000Z,16.01
2021-11-10T00:00:00.000Z,18.1
2021-11-11T00:00:00.000Z,13.44
2021-11-12T00:00:00.000Z,5.81
2021-11-13T00:00:00.000Z,13.23
2021-11-14T00:00:00.000Z,29.77
